Voltage(V),Thickness(nm),Value
0.0,100,15.6562405
0.0,200,18.3721119
0.0,300,20.0607912
0.0,400,21.1469761
0.0,500,21.8709963
0.0,600,22.3695196
0.0,700,22.7227769
0.0,800,22.9794246
0.0,900,23.170027
0.0,1000,23.3143188
0.05,100,15.6528684
0.05,200,18.3710668
0.05,300,20.0602711
0.05,400,21.1466607
0.05,500,21.8707799
0.05,600,22.3693569
0.05,700,22.7226453
0.05,800,22.9793115
0.05,900,23.1699248
0.05,1000,23.3142229
0.1,100,15.6495393
0.1,200,18.3700212
0.1,300,20.0597475
0.1,400,21.1463418
0.1,500,21.8705601
0.1,600,22.3691909
0.1,700,22.7225101
0.1,800,22.9791945
0.1,900,23.1698184
0.1,1000,23.3141221
0.15,100,15.6462495
0.15,200,18.3689737
0.15,300,20.0592195
0.15,400,21.1460186
0.15,500,21.8703363
0.15,600,22.3690209
0.15,700,22.7223707
0.15,800,22.9790729
0.15,900,23.1697068
0.15,1000,23.3140154
0.2,100,15.6429962
0.2,200,18.3679228
0.2,300,20.0586861
0.2,400,21.1456903
0.2,500,21.8701078
0.2,600,22.368846
0.2,700,22.7222262
0.2,800,22.9789456
0.2,900,23.1695888
0.2,1000,23.3139015
0.25,100,15.639776
0.25,200,18.3668669
0.25,300,20.058146
0.25,400,21.1453558
0.25,500,21.8698733
0.25,600,22.3686652
0.25,700,22.7220753
0.25,800,22.9788114
0.25,900,23.169463
0.25,1000,23.3137787
0.3,100,15.6365849
0.3,200,18.3658038
0.3,300,20.0575976
0.3,400,21.1450136
0.3,500,21.8696315
0.3,600,22.3684769
0.3,700,22.7219164
0.3,800,22.9786683
0.3,900,23.1693272
0.3,1000,23.3136446
0.35,100,15.6334183
0.35,200,18.3647309
0.35,300,20.0570387
0.35,400,21.1446619
0.35,500,21.8693805
0.35,600,22.3682791
0.35,700,22.7217474
0.35,800,22.9785138
0.35,900,23.1691785
0.35,1000,23.313496
0.4,100,15.6302707
0.4,200,18.3636447
0.4,300,20.0564665
0.4,400,21.1442978
0.4,500,21.8691174
0.4,600,22.3680688
0.4,700,22.7215646
0.4,800,22.978344
0.4,900,23.1690125
0.4,1000,23.3133276
0.45,100,15.6271352
0.45,200,18.3625407
0.45,300,20.0558769
0.45,400,21.1439175
0.45,500,21.868838
0.45,600,22.3678412
0.45,700,22.7213627
0.45,800,22.9781528
0.45,900,23.1688222
0.45,1000,23.3131318
0.5,100,15.6240029
0.5,200,18.3614125
0.5,300,20.0552644
0.5,400,21.1435149
0.5,500,21.8685355
0.5,600,22.3675885
0.5,700,22.7211327
0.5,800,22.9779297
0.5,900,23.1685958
0.5,1000,23.3128949
0.55,100,15.6208622
0.55,200,18.3602516
0.55,300,20.0546203
0.55,400,21.1430803
0.55,500,21.8681985
0.55,600,22.3672967
0.55,700,22.7208582
0.55,800,22.9776556
0.55,900,23.1683111
0.55,1000,23.3125917
0.6,100,15.6176972
0.6,200,18.3590455
0.6,300,20.0539321
0.6,400,21.142599
0.6,500,21.8678079
0.6,600,22.3669419
0.6,700,22.7205092
0.6,800,22.9772942
0.6,900,23.1679251
0.6,1000,23.3121725
0.65,100,15.6144855
0.65,200,18.3577774
0.65,300,20.0531847
0.65,400,21.1420534
0.65,500,21.8673402
0.65,600,22.3664912
0.65,700,22.7200409
0.65,800,22.9767869
0.65,900,23.1673645
0.65,1000,23.3115477
0.7,100,15.6111914
0.7,200,18.356419
0.7,300,20.0523558
0.7,400,21.1414252
0.7,500,21.8667764
0.7,600,22.3659184
0.7,700,22.7194138
0.7,800,22.9760742
0.7,900,23.1665432
0.7,1000,23.3106
0.75,100,15.6077502
0.75,200,18.3549073
0.75,300,20.0513816
0.75,400,21.1406483
0.75,500,21.8660461
0.75,600,22.3651453
0.75,700,22.7185343
0.75,800,22.9750383
0.75,900,23.1653084
0.75,1000,23.3091283
0.8,100,15.6040149
0.8,200,18.3530839
0.8,300,20.0500829
0.8,400,21.1395111
0.8,500,21.8648903
0.8,600,22.363848
0.8,700,22.7169946
0.8,800,22.9731652
0.8,900,23.1630144
